wavelength,0,1,2,3,4,5,6,7,8,9,10
494.915,37,29,28,21,15,18,11,8,6,6,1
495.38,38,33,29,23,21,16,12,13,8,6,5
495.846,35,29,26,21,17,13,11,6,6,3,1
496.312,37,32,28,22,19,16,10,11,8,6,6
496.778,42,39,31,30,24,20,14,14,12,8,8
497.244,37,37,30,26,24,16,12,6,10,4,4
497.711,37,32,34,29,26,19,13,11,12,8,5
498.177,40,37,29,23,26,14,9,7,4,7,3
498.643,46,38,32,29,23,17,17,13,12,9,12
499.109,48,42,35,29,28,18,17,15,7,10,11
499.575,45,43,38,34,25,21,16,15,13,6,7
500.042,47,41,34,30,25,20,12,13,10,6,5
500.508,48,49,37,31,25,19,16,13,11,5,9
500.974,47,41,37,28,23,19,15,13,9,7,5
501.441,50,39,35,30,27,19,16,12,9,7,4
501.907,52,47,41,36,30,22,15,14,12,7,9
502.374,55,51,42,40,32,24,22,19,13,8,9
502.84,53,52,40,35,28,24,18,14,11,7,14
503.307,55,50,35,40,28,20,19,13,11,8,12
503.773,57,48,41,39,27,21,18,14,12,2,5
504.24,54,46,45,31,30,22,20,13,11,8,7
504.707,59,53,45,38,36,23,20,17,14,7,10
505.173,58,49,39,36,28,23,18,14,8,7,8
505.64,61,55,49,37,37,27,17,18,11,11,12
506.107,54,44,44,36,32,23,17,13,14,5,6
506.574,58,49,48,39,32,23,21,15,13,6,9
507.04,60,52,47,41,34,26,25,18,11,9,6
507.507,60,49,44,35,31,22,24,17,16,9,9
507.974,64,54,48,43,34,25,22,23,18,15,12
508.441,65,56,52,43,32,34,25,24,13,10,6
508.908,64,58,51,42,36,27,28,19,11,11,11
509.375,61,56,48,39,32,26,22,17,11,12,9
509.842,64,59,51,41,34,28,19,17,12,9,9
510.31,63,56,50,43,33,29,21,20,15,13,9
510.777,59,54,49,39,32,25,19,16,10,8,8
511.244,67,61,56,46,35,29,26,17,17,12,12
511.711,66,62,52,45,38,33,26,18,13,15,11
512.178,71,63,54,43,39,31,25,21,18,12,10
512.646,67,58,54,43,36,27,24,20,17,10,8
513.113,70,61,52,45,38,29,23,20,15,12,12
513.58,66,60,53,46,37,30,23,14,13,11,7
514.048,66,60,48,44,38,23,23,15,10,8,4
514.515,71,58,51,45,39,28,24,23,14,12,13
514.983,73,65,55,49,39,30,22,20,16,13,9
515.45,73,68,58,46,42,35,25,22,18,16,14
515.918,69,66,55,44,39,30,24,18,12,10,9
516.386,80,68,55,50,46,33,25,23,14,12,11
516.853,76,65,56,44,43,28,22,21,14,11,13
517.321,80,72,58,55,45,37,27,22,19,17,12
517.789,73,70,60,50,43,35,25,18,9,10,12
518.256,71,68,53,48,40,31,24,14,12,11,6
518.724,83,66,59,51,44,30,26,24,16,13,8
519.192,79,69,54,48,41,28,29,21,17,7,8
519.66,78,64,57,49,43,34,22,18,13,9,9
520.128,75,69,58,52,41,33,26,16,17,11,13
520.596,80,69,57,50,45,33,29,24,18,13,11
521.064,83,65,59,53,40,31,21,22,14,13,6
521.532,77,71,65,52,48,33,29,24,20,19,15
522,72,64,50,45,39,27,22,10,14,6,8
522.468,83,71,64,50,47,40,32,19,18,15,14
522.936,75,69,56,51,44,34,27,18,12,15,9
523.404,74,70,59,50,39,33,28,20,15,14,10
523.873,77,65,59,49,45,30,22,20,15,13,8
524.341,76,68,56,47,45,31,27,20,18,5,14
524.809,78,65,58,55,40,36,27,24,20,16,11
525.277,75,68,58,49,39,28,27,16,13,13,9
525.746,78,67,57,49,42,30,24,25,21,15,9
526.214,78,67,61,49,44,32,30,25,13,12,10
526.683,76,68,60,52,44,33,24,23,15,16,14
527.151,73,63,58,46,39,29,28,21,15,12,9
