wavelength,1,2,3,4,5,6,7,8,9,10
470.74,35,20,13,9,10,8,3,8,1,1
471.204,34,11,10,2,-1,4,0,2,3,-3
471.667,33,19,11,5,5,5,4,3,4,2
472.131,37,19,7,6,7,4,2,4,1,7
472.596,29,10,6,6,2,1,-1,-2,-2,3
473.06,36,21,11,14,11,8,8,10,6,7
473.524,39,19,9,12,2,3,-2,-1,7,0
473.988,38,17,12,9,10,3,3,2,2,-1
474.452,37,20,15,13,4,4,7,4,4,4
474.916,37,23,16,14,8,4,6,7,3,0
475.381,32,14,7,9,5,1,3,4,0,-1
475.845,42,22,8,7,6,6,4,5,4,-1
476.309,35,22,8,5,10,2,1,1,4,2
476.774,38,21,13,9,7,7,3,6,1,1
477.238,35,24,15,11,4,11,2,6,1,8
477.703,39,17,12,5,8,6,6,3,1,4
478.167,41,28,11,15,10,8,6,5,9,8
478.632,37,20,12,6,10,1,1,5,0,2
479.096,40,22,11,11,6,5,0,8,6,2
479.561,41,26,13,11,11,7,3,3,3,4
480.026,44,25,14,14,10,7,8,8,4,5
480.49,42,26,18,11,10,3,4,2,-1,1
480.955,42,25,17,11,12,5,3,6,2,3
481.42,45,23,14,13,11,9,6,1,1,0
481.885,45,28,16,12,8,9,10,9,6,6
482.349,46,27,13,9,8,6,7,6,4,0
482.814,50,31,19,20,13,11,9,7,5,8
483.279,49,29,21,17,12,8,6,6,4,2
483.744,54,31,21,18,14,8,6,10,3,4
484.209,54,36,19,22,19,9,11,11,9,6
484.674,52,31,22,19,11,9,5,4,4,6
485.139,55,33,24,19,16,12,6,10,7,2
485.604,61,40,26,22,16,14,7,3,2,4
486.069,63,40,23,22,14,12,8,8,8,5
486.535,61,33,25,19,16,10,9,6,-1,2
487,63,39,28,20,15,12,12,10,2,9
487.465,61,38,30,20,17,14,3,8,6,4
487.93,65,43,30,23,16,12,9,6,6,3
488.396,65,45,27,24,22,15,10,7,5,1
488.861,66,45,29,23,18,16,7,12,4,4
489.327,72,48,35,26,21,18,13,12,6,7
489.792,67,48,32,26,22,18,15,13,12,6
490.258,71,49,30,24,23,14,14,10,8,7
490.723,74,53,31,30,21,17,12,10,12,4
491.189,79,54,39,28,21,16,14,15,2,6
491.654,78,50,36,30,22,17,12,8,9,7
492.12,72,50,34,27,23,17,11,7,7,2
492.586,76,48,34,25,24,16,15,10,7,-1
493.051,81,51,35,32,25,20,13,11,3,3
493.517,78,54,33,33,21,20,14,7,7,5
493.983,82,57,37,34,27,21,15,13,9,7
494.449,86,58,41,36,31,22,20,14,12,9
494.915,84,58,43,35,27,24,14,15,10,7
495.38,90,57,44,34,28,21,16,13,12,7
495.846,85,59,38,34,24,20,10,13,6,4
496.312,90,58,44,37,26,25,14,15,8,7
496.778,97,67,49,40,36,21,21,16,14,10
497.244,91,66,45,37,29,23,17,15,12,6
497.711,99,68,47,40,32,25,19,13,12,10
498.177,95,67,51,40,27,25,16,13,11,4
498.643,98,71,54,41,34,23,21,18,10,9
499.109,106,76,56,44,40,27,23,14,13,8
499.575,109,74,54,49,36,27,23,22,13,9
500.042,107,70,54,43,34,26,18,23,10,8
500.508,112,81,54,52,38,28,23,16,15,12
500.974,112,77,58,46,40,27,22,16,10,13
501.441,115,78,52,48,38,29,21,15,13,8
501.907,117,82,59,52,44,32,21,19,12,7
502.374,117,89,66,55,44,33,26,22,13,10
502.84,120,81,64,55,41,36,25,20,15,10
503.307,122,81,63,52,45,31,23,23,17,13
503.773,121,87,65,54,43,33,28,19,14,15
504.24,120,88,65,57,43,33,21,17,10,4
504.707,127,92,63,60,42,34,24,22,14,11
505.173,128,94,66,59,44,30,27,19,9,9
505.64,129,92,65,60,47,40,27,25,18,10
